planner_key,structural_class,scenario_family,certification_model,evaluation_model,certification_gate_status,evaluation_gate_status,transfer_status,interaction_status,interaction_exercised,flip_type,failed_gate_ids,not_evaluable_gate_ids
goal,baseline_reactive,issue4207_interacting_smoke,social_force_default,social_force_default,fail,fail,stable_fail,interacting,True,,collision_rate_zero;near_miss_rate_limit;min_clearance_floor,
goal,baseline_reactive,issue4207_interacting_smoke,social_force_default,hsfm_total_force_v1,fail,fail,stable_fail,interacting,True,,collision_rate_zero;near_miss_rate_limit;min_clearance_floor,
goal,baseline_reactive,issue4207_interacting_smoke,hsfm_total_force_v1,social_force_default,fail,fail,stable_fail,interacting,True,,collision_rate_zero;near_miss_rate_limit;min_clearance_floor,
goal,baseline_reactive,issue4207_interacting_smoke,hsfm_total_force_v1,hsfm_total_force_v1,fail,fail,stable_fail,interacting,True,,collision_rate_zero;near_miss_rate_limit;min_clearance_floor,
ppo,learned_policy,issue4207_interacting_smoke,social_force_default,social_force_default,pass,pass,stable_pass,non_interacting,False,,,
ppo,learned_policy,issue4207_interacting_smoke,social_force_default,hsfm_total_force_v1,pass,pass,stable_pass,non_interacting,False,,,
ppo,learned_policy,issue4207_interacting_smoke,hsfm_total_force_v1,social_force_default,pass,pass,stable_pass,non_interacting,False,,,
ppo,learned_policy,issue4207_interacting_smoke,hsfm_total_force_v1,hsfm_total_force_v1,pass,pass,stable_pass,non_interacting,False,,,
prediction_planner,predictive,issue4207_interacting_smoke,social_force_default,social_force_default,fail,fail,stable_fail,non_interacting,False,,collision_rate_zero,
prediction_planner,predictive,issue4207_interacting_smoke,social_force_default,hsfm_total_force_v1,fail,fail,stable_fail,non_interacting,False,,collision_rate_zero,
prediction_planner,predictive,issue4207_interacting_smoke,hsfm_total_force_v1,social_force_default,fail,fail,stable_fail,non_interacting,False,,collision_rate_zero,
prediction_planner,predictive,issue4207_interacting_smoke,hsfm_total_force_v1,hsfm_total_force_v1,fail,fail,stable_fail,non_interacting,False,,collision_rate_zero,
guarded_ppo,constraint_first,issue4207_interacting_smoke,social_force_default,social_force_default,pass,pass,stable_pass,non_interacting,False,,,
guarded_ppo,constraint_first,issue4207_interacting_smoke,social_force_default,hsfm_total_force_v1,pass,pass,stable_pass,non_interacting,False,,,
guarded_ppo,constraint_first,issue4207_interacting_smoke,hsfm_total_force_v1,social_force_default,pass,pass,stable_pass,non_interacting,False,,,
guarded_ppo,constraint_first,issue4207_interacting_smoke,hsfm_total_force_v1,hsfm_total_force_v1,pass,pass,stable_pass,non_interacting,False,,,
